image_path,class_name,label_idx,crop,disease,is_healthy
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Leaf_Mold\img_08259.jpg,Tomato___Leaf_Mold,31,Tomato,Leaf Mold,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Bacterial_spot\img_07327.jpg,Tomato___Bacterial_spot,28,Tomato,Bacterial Spot,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\img_10226.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35,Tomato,Tomato Yellow Leaf Curl Virus,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Soybean___healthy\img_06262.jpg,Soybean___healthy,24,Soybean,Healthy,True
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Apple___healthy\img_00454.jpg,Apple___healthy,3,Apple,Healthy,True
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Grape___healthy\img_02855.jpg,Grape___healthy,14,Grape,Healthy,True
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Target_Spot\img_09300.jpg,Tomato___Target_Spot,34,Tomato,Target Spot,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Potato___Late_blight\img_05350.jpg,Potato___Late_blight,21,Potato,Late Blight,False
"C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Pepper,_bell___Bacterial_spot\img_04590.jpg","Pepper,_bell___Bacterial_spot",18,Pepper (Bell),Bacterial Spot,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Apple___healthy\img_00393.jpg,Apple___healthy,3,Apple,Healthy,True
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Orange___Haunglongbing_(Citrus_greening)\img_03634.jpg,Orange___Haunglongbing_(Citrus_greening),15,Orange,Haunglongbing (Citrus Greening),False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Squash___Powdery_mildew\img_06770.jpg,Squash___Powdery_mildew,25,Squash,Powdery Mildew,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Target_Spot\img_09400.jpg,Tomato___Target_Spot,34,Tomato,Target Spot,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Corn_(maize)___Common_rust_\img_01589.jpg,Corn_(maize)___Common_rust_,8,Corn (Maize),Common Rust,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\img_02802.jpg,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),13,Grape,Leaf Blight (Isariopsis Leaf Spot),False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Tomato___Tomato_Yellow_Leaf_Curl_Virus\img_09533.jpg,Tomato___Tomato_Yellow_Leaf_Curl_Virus,35,Tomato,Tomato Yellow Leaf Curl Virus,False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\img_02657.jpg,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),13,Grape,Leaf Blight (Isariopsis Leaf Spot),False
C:\Users\user\Desktop\AGRISHIELD\ml-model\dataset\raw\Orange___Haunglongbing_(Citrus_greening)\img_03632.jpg,Orange___Haunglongbing_(Citrus_greening),15,Orange,Haunglongbing (Citrus Greening),False
